mode,task_index,task_topic,message_count,text_chars,approx_tokens,protocol_bytes,object_ref_count,state_patch_count,memory_ref_count,non_text_state_bytes,shared_object_bytes,memory_hit,reused_memory_id,baseline_steps,actual_steps,saved_steps,total_latency_ms,root_cause_correct,scenario_family,capability_count,capability_discovery_count,embedding_state_count,embedding_state_bytes
structured_mode,23,maintenance job aborts because postgres volume is full [cycle 2],6,4052,1013,9525,1,2,6,2329,8388608,true,94c7fa66dbe34517a6a4a8dd1d5e0aef,5,3,2,52.736,true,storage_full,5,3,1,1287
text_mode,24,checkout recovery loop hits disk-full condition again [cycle 2],4,262158,65540,264869,0,0,0,0,0,false,,5,5,0,91.622,true,storage_full,0,0,0,0
structured_mode,24,checkout recovery loop hits disk-full condition again [cycle 2],6,4146,1037,9619,1,2,6,2366,8388608,true,94c7fa66dbe34517a6a4a8dd1d5e0aef,5,3,2,48.707,true,storage_full,5,3,1,1298
text_mode,25,checkout database timeout on primary failover [cycle 3],4,262286,65572,264967,0,0,0,0,0,false,,5,5,0,91.639,true,database_timeout,0,0,0,0
structured_mode,25,checkout database timeout on primary failover [cycle 3],6,4016,1004,9486,1,2,6,2333,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,5,0,49.073,true,database_timeout,5,3,1,1289
text_mode,26,checkout timeout after config drift on blue deployment [cycle 3],4,262151,65538,264868,0,0,0,0,0,false,,5,5,0,91.617,true,database_timeout,0,0,0,0
structured_mode,26,checkout timeout after config drift on blue deployment [cycle 3],6,3986,997,9458,1,2,6,2309,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,3,2,48.607,true,database_timeout,5,3,1,1279
text_mode,27,payment timeout while talking to checkout database [cycle 3],4,262152,65538,264854,0,0,0,0,0,false,,5,5,0,91.642,true,database_timeout,0,0,0,0
structured_mode,27,payment timeout while talking to checkout database [cycle 3],6,4120,1030,9549,1,2,6,2342,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,3,2,49.756,true,database_timeout,5,3,1,1274
text_mode,28,canary rollout triggers repeated postgres timeout [cycle 3],4,262151,65538,264849,0,0,0,0,0,false,,5,5,0,91.634,true,database_timeout,0,0,0,0
structured_mode,28,canary rollout triggers repeated postgres timeout [cycle 3],6,4114,1029,9598,1,2,6,2372,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,3,2,45.666,true,database_timeout,5,3,1,1306
text_mode,29,credential refresh fails with permission denied [cycle 3],4,262152,65538,264842,0,0,0,0,0,false,,5,5,0,91.608,true,permission_denied,0,0,0,0
structured_mode,29,credential refresh fails with permission denied [cycle 3],6,4253,1064,9829,1,2,6,2457,8388608,true,0486b97f186043b48bb7f2c8d1ff3edd,5,5,0,50.277,true,permission_denied,5,3,1,1359
text_mode,30,worker restart still cannot read secret volume [cycle 3],4,262154,65539,264839,0,0,0,0,0,false,,5,5,0,91.642,true,permission_denied,0,0,0,0
structured_mode,30,worker restart still cannot read secret volume [cycle 3],6,4223,1056,9813,1,2,6,2458,8388608,true,0486b97f186043b48bb7f2c8d1ff3edd,5,4,1,49.199,true,permission_denied,5,3,1,1374
